Wall time,Step,Value
1769181739.089584,200,1.102431297302246
1769198068.9164696,400,0.6565034985542297
1769209292.4681191,500,0.7541266083717346
1769217299.058245,600,0.9198098182678223
1769233139.0058315,800,0.8600143194198608
1769252348.86592,1000,0.9759967923164368
1769268743.9756188,1200,0.7359350919723511
1769285159.2544556,1400,0.8333494663238525
1769296270.4810016,1500,0.9718087315559387
1769304019.5511096,1600,1.1123192310333252
1769320229.009812,1800,0.7928986549377441
1769337993.8287458,2000,0.5809986591339111
1769354124.093979,2200,1.1315512657165527
1769370038.951331,2400,1.3316285610198975
1769380644.8279412,2500,0.7947739362716675
1769388853.9169574,2600,0.8771594762802124
1769404428.9202707,2800,1.0191010236740112
1769423154.2297003,3000,0.9748935103416443
1769439269.4504876,3200,0.6210284233093262
1769455513.92143,3400,0.7054889798164368
1769465987.6634042,3500,0.6730243563652039
1769473893.977237,3600,0.8615570664405823
1769488975.2001905,3800,1.1060261726379395
1769507791.6252706,4000,0.7557945847511292
1769523639.6033382,4200,1.1047641038894653
1769538398.9684944,4400,1.1496201753616333
1769549493.1941028,4500,0.7504211068153381
1769557044.1202338,4600,0.7768943309783936
1769571974.106708,4800,0.5986156463623047
1769590196.5076394,5000,1.2686030864715576
1769605954.0101416,5200,0.9467388987541199
1769620603.9908679,5400,0.7486265897750854
1769629903.2435308,5500,0.655180037021637
1769637549.0370028,5600,1.301921010017395
1769652003.9233654,5800,0.9334604144096375
1769669195.5916312,6000,1.1224313974380493
1769684878.95388,6200,0.9736167788505554
1769699074.0998616,6400,0.7812359929084778
1769708402.6427767,6500,0.550065279006958
1769715248.908437,6600,0.9707274436950684
1769729529.1891444,6800,1.1036629676818848
1769746059.6138809,7000,0.4935758113861084
1769759769.0014272,7200,1.1099849939346313
1769772928.8900218,7400,0.9563109278678894
1769782385.5957558,7500,0.9041773080825806
1769794053.9620886,7600,0.9036683440208435
1769806008.9646957,7800,1.0541340112686157
1769819978.5672805,8000,0.631169319152832
1769840464.023446,8200,1.2461907863616943
1769855589.016083,8400,1.0259099006652832
1769866657.3387349,8500,0.7280781269073486
1769872883.9784684,8600,0.8725821375846863
1769884339.0268755,8800,0.7821252346038818
1769899395.3776536,9000,0.6688245534896851
1769911439.0667698,9200,0.9264787435531616
1769930473.9964771,9400,0.8003163933753967
1769939611.518709,9500,0.6648792624473572
1769945303.9721982,9600,0.7578261494636536
1769957253.9335952,9800,1.076453447341919
1769972397.5957594,10000,0.8027575612068176
1769984299.0383215,10200,0.6390213966369629
1769996789.0059915,10400,1.1760590076446533
1770005394.9885063,10500,1.1227972507476807
1770010888.8935778,10600,0.6111143827438354
1770023463.9839406,10800,0.7204571962356567
1770038888.5278223,11000,0.8015341758728027
1770050449.0178216,11200,1.0588666200637817
1770063699.2113805,11400,0.9632295966148376
1770071623.698875,11500,1.1160742044448853
1770077549.016452,11600,1.0629403591156006
1770089784.115076,11800,1.0140767097473145
1770105896.276923,12000,0.7933468818664551
1770118538.9364297,12200,0.8264684081077576
1770132023.9626482,12400,0.8611029982566833
1770140665.4849014,12500,0.8161356449127197
1770147448.9845357,12600,0.7146135568618774
1770162747.1294897,12800,0.965488851070404
1770178638.5153387,13000,1.0495778322219849
1770192399.163326,13200,0.6631667017936707
1770307819.2674181,13400,0.5102959871292114
1770316074.116614,13500,1.2000112533569336
1770321899.6582727,13600,1.0254586935043335
1770333784.0210738,13800,1.0373430252075195
1770347904.407291,14000,1.114331841468811
1770363074.0599651,14200,1.0833243131637573
1770375354.2171407,14400,0.9081902503967285
1770383378.120783,14500,1.0423014163970947
1770390918.9949002,14600,1.3178467750549316
1770403289.065636,14800,1.0398236513137817
1770418912.6161125,15000,0.6382980346679688
1770431694.2819345,15200,0.7334976196289062
1770444239.069516,15400,0.9072155356407166
1770452033.496057,15500,0.811125636100769
1770459059.1324763,15600,0.9696059823036194
1770470789.0905209,15800,1.2554218769073486
1770485691.0143402,16000,0.6385862231254578
1770497658.9726973,16200,1.1269344091415405
1770509738.9857163,16400,0.4829252362251282
1770517893.8153331,16500,0.5924005508422852
1770524034.1027646,16600,0.6580029129981995
1770537244.132302,16800,0.7678061723709106
1770552472.455113,17000,0.6712250113487244
1770563888.7682695,17200,0.7101113200187683
1770575584.0820224,17400,0.7089077234268188
1770587117.5056286,17500,0.5051981210708618
1770593008.3729525,17600,1.041896104812622
1770609714.6583834,17800,0.7113549709320068
1770625443.4387343,18000,0.6140365600585938
1770636674.0432043,18200,0.6836085319519043
1770648534.0670848,18400,0.2984163761138916
1770656762.0382752,18500,0.8713023066520691
1770662473.9520757,18600,0.8619412183761597
1770674053.961652,18800,0.7161707878112793
1770689003.178516,19000,0.5887970328330994
1770701343.90816,19200,0.5818949937820435
1770713394.3022568,19400,0.39569172263145447
1770723675.458185,19500,0.5623294711112976
1770729919.0547655,19600,0.8131989240646362
1770743489.1165075,19800,0.5419809818267822
1770758752.4461396,20000,1.0093638896942139
