Wall time,Step,Value
1769181739.0895352,200,25.850299835205078
1769198068.9164317,400,25.361738204956055
1769217299.058205,600,25.08708381652832
1769233139.0057857,800,24.743900299072266
1769252348.8695385,1000,24.107236862182617
1769268743.975574,1200,24.056337356567383
1769285159.2544172,1400,23.479007720947266
1769304019.5510688,1600,23.497102737426758
1769320229.0097752,1800,23.03380584716797
1769337993.8321307,2000,22.454059600830078
1769354124.0939379,2200,21.998233795166016
1769370038.9512923,2400,21.46800994873047
1769388853.9169128,2600,21.0596923828125
1769404428.9202325,2800,21.276185989379883
1769423154.2326064,3000,20.81263542175293
1769439269.4504435,3200,20.554851531982422
1769455513.921386,3400,20.074748992919922
1769473893.977193,3600,19.725812911987305
1769488975.2001512,3800,19.447057723999023
1769507791.6276278,4000,19.34937858581543
1769523639.6032944,4200,19.147546768188477
1769538398.9684498,4400,19.118484497070312
1769557044.1201966,4600,19.2269229888916
1769571974.1066644,4800,19.065099716186523
1769590196.5103548,5000,18.7126522064209
1769605954.0101042,5200,18.844831466674805
1769620603.9908237,5400,19.033687591552734
1769637549.0369647,5600,19.413469314575195
1769652003.9233277,5800,19.865489959716797
1769669195.6023316,6000,20.435348510742188
1769684878.9538422,6200,20.51030158996582
1769699074.0998235,6400,20.72870635986328
1769715248.9083943,6600,20.890146255493164
1769729529.1890757,6800,21.006004333496094
1769746059.6163998,7000,21.45323371887207
1769759769.001383,7200,21.843185424804688
1769772928.8899775,7400,22.295164108276367
1769794053.962051,7600,22.148822784423828
1769806008.9646525,7800,22.680187225341797
1769819978.569913,8000,22.968875885009766
1769840464.0234058,8200,22.477720260620117
1769855589.016045,8400,22.792387008666992
1769872883.9784303,8600,22.61453628540039
1769884339.0268312,8800,23.178478240966797
1769899395.380472,9000,22.92006492614746
1769911439.0667264,9200,23.441160202026367
1769930473.996439,9400,23.594196319580078
1769945303.9721622,9600,23.99482536315918
1769957253.9335563,9800,24.263774871826172
1769972397.5992987,10000,24.44339942932129
1769984299.0382843,10200,24.996606826782227
1769996789.005933,10400,24.984756469726562
1770010888.893517,10600,25.493000030517578
1770023463.983897,10800,25.5238094329834
1770038888.5316443,11000,25.703155517578125
1770050449.0177839,11200,26.20508575439453
1770063699.2113268,11400,26.432863235473633
1770077549.0164096,11600,26.44679069519043
1770089784.1150362,11800,26.656705856323242
1770105896.2795382,12000,26.349023818969727
1770118538.9363866,12200,26.731313705444336
1770132023.9626043,12400,26.479305267333984
1770147448.9844916,12600,26.677183151245117
1770162747.1294475,12800,26.5185546875
1770178638.5175767,13000,25.567625045776367
1770192399.1632714,13200,26.48134994506836
1770307819.2673712,13400,26.900903701782227
1770321899.6582353,13600,27.772878646850586
1770333784.0210297,13800,27.850587844848633
1770347904.4112067,14000,28.782657623291016
1770363074.0599213,14200,28.38016700744629
1770375354.217101,14400,28.412321090698242
1770390918.9948626,14600,28.156814575195312
1770403289.0655978,14800,28.194456100463867
1770418912.6184435,15000,28.49065399169922
1770431694.2818913,15200,28.344158172607422
1770444239.0694773,15400,28.45203399658203
1770459059.1324384,15600,28.157241821289062
1770470789.0904768,15800,28.290237426757812
1770485691.0169373,16000,28.28726577758789
1770497658.9726434,16200,27.722187042236328
1770509738.9856787,16400,27.915727615356445
1770524034.1027272,16600,28.075336456298828
1770537244.132264,16800,27.70669174194336
1770552472.4576514,17000,28.079021453857422
1770563888.7682316,17200,27.95326042175293
1770575584.0819798,17400,28.545124053955078
1770593008.3729086,17600,28.979310989379883
1770609714.6583385,17800,28.841876983642578
1770625443.4410527,18000,30.075775146484375
1770636674.0431511,18200,30.260364532470703
1770648534.0670147,18400,30.295719146728516
1770662473.9520347,18600,30.5384464263916
1770674053.961615,18800,30.522586822509766
1770689003.1811135,19000,30.51541519165039
1770701343.9081063,19200,31.06446075439453
1770713394.30222,19400,31.3355712890625
1770729919.0547283,19600,31.71956443786621
1770743489.1164641,19800,31.94221305847168
1770758752.450533,20000,32.29153060913086
