timestamp,episode,step,obs_action,obs_cpu,obs_memory,obs_response_time,obs_cpu_delta,obs_memory_delta,obs_rt_delta,action,reward,next_obs_action,next_obs_cpu,next_obs_memory,next_obs_response_time,next_obs_cpu_delta,next_obs_memory_delta,next_obs_rt_delta,terminated,truncated,cpu,memory,response_time,replicas
2026-01-23T17:54:03.872818,1,1,0.939393937587738,0.14273758232593536,0.748705267906189,0.415952205657959,0.0,0.0,0.0,8,0.9191919191919192,0.08080808073282242,0.07766038924455643,0.7525985836982727,0.2438928633928299,-0.06507719308137894,0.0038933157920837402,-0.1720593422651291,False,False,7.766038762577347,75.25985717773438,24.389285714285712,2
2026-01-23T17:55:23.921976,1,2,0.08080808073282242,0.07766038924455643,0.7525985836982727,0.2438928633928299,-0.06507719308137894,0.0038933157920837402,-0.1720593422651291,77,0.2222222222222222,0.7777777910232544,0.0034160513896495104,0.06496886909008026,0.0,-0.07424433529376984,-0.6876296997070312,-0.2438928633928299,False,False,0.3416051311705075,6.49688720703125,0.0,15
2026-01-23T17:56:48.953857,1,3,0.7777777910232544,0.0034160513896495104,0.06496886909008026,0.0,-0.07424433529376984,-0.6876296997070312,-0.2438928633928299,65,0.3434343434343434,0.6565656661987305,0.09269875288009644,0.26567840576171875,0.26091283559799194,0.08928269892930984,0.2007095366716385,0.26091283559799194,False,False,9.269875033593213,26.567840576171886,26.091282198401323,13
2026-01-23T17:58:13.862513,1,4,0.6565656661987305,0.09269875288009644,0.26567840576171875,0.26091283559799194,0.08928269892930984,0.2007095366716385,0.26091283559799194,43,0.5656565656565656,0.4343434274196625,0.1272561103105545,0.3606247007846832,0.257944256067276,0.03455735743045807,0.09494629502296448,-0.0029685795307159424,False,False,12.725611580342228,36.06246948242189,25.794425982679826,9
2026-01-23T17:58:54.434474,1,5,0.4343434274196625,0.1272561103105545,0.3606247007846832,0.257944256067276,0.03455735743045807,0.09494629502296448,-0.0029685795307159424,43,0.5656565656565656,0.4343434274196625,0.1768825203180313,0.268624871969223,0.258983850479126,0.04962641000747681,-0.0919998288154602,0.0010395944118499756,False,False,17.688251926005172,26.862487792968757,25.89838614597998,9
2026-01-23T18:00:14.038906,1,6,0.4343434274196625,0.1768825203180313,0.268624871969223,0.258983850479126,0.04962641000747681,-0.0919998288154602,0.0010395944118499756,85,0.14141414141414144,0.8585858345031738,0.058031290769577026,0.11640777438879013,0.25876158475875854,-0.11885122954845428,-0.1522170901298523,-0.00022226572036743164,False,False,5.803128952480326,11.64077758789063,25.876157407407412,17
2026-01-23T18:03:29.385484,1,7,0.8585858345031738,0.058031290769577026,0.11640777438879013,0.25876158475875854,-0.11885122954845428,-0.1522170901298523,-0.00022226572036743164,8,0.9191919191919192,0.08080808073282242,0.4451718330383301,0.11737518012523651,0.3415277898311615,0.38714054226875305,0.0009674057364463806,0.08276620507240295,False,False,44.51718361882144,11.737518310546875,34.15277777777777,2
2026-01-23T18:04:48.970664,1,8,0.08080808073282242,0.4451718330383301,0.11737518012523651,0.3415277898311615,0.38714054226875305,0.0009674057364463806,0.08276620507240295,69,0.303030303030303,0.6969696879386902,0.10813653469085693,0.3137351870536804,0.4437425136566162,-0.33703529834747314,0.1963600069284439,0.10221472382545471,False,False,10.813653567584195,31.373519897460973,44.37425234755919,14
2026-01-23T18:06:14.083482,1,9,0.6969696879386902,0.10813653469085693,0.3137351870536804,0.4437425136566162,-0.33703529834747314,0.1963600069284439,0.10221472382545471,20,0.797979797979798,0.20202019810676575,0.3527541160583496,0.7438583374023438,0.26550060510635376,0.24461758136749268,0.43012315034866333,-0.17824190855026245,False,False,35.27541210654688,74.38583374023438,26.550061111111113,4
2026-01-23T18:07:38.896057,1,10,0.20202019810676575,0.3527541160583496,0.7438583374023438,0.26550060510635376,0.24461758136749268,0.43012315034866333,-0.17824190855026245,9,0.9090909090909091,0.09090909361839294,0.5709934830665588,0.7674369812011719,0.4885615408420563,0.21823936700820923,0.023578643798828125,0.22306093573570251,False,False,57.09934645353415,76.74369812011719,48.85615354174911,2
2026-01-23T18:08:53.835457,1,11,0.09090909361839294,0.5709934830665588,0.7674369812011719,0.4885615408420563,0.21823936700820923,0.023578643798828125,0.22306093573570251,52,0.3000463954892165,0.5252525210380554,0.2910865545272827,0.4974075257778168,0.6103962063789368,-0.2799069285392761,-0.2700294554233551,0.1218346655368805,False,False,29.10865518050938,49.740753173828125,61.0396213914261,10
2026-01-23T18:10:39.043170,1,12,0.5252525210380554,0.2910865545272827,0.4974075257778168,0.6103962063789368,-0.2799069285392761,-0.2700294554233551,0.1218346655368805,97,0.02020202020202022,0.9797979593276978,0.24619196355342865,0.6905273199081421,0.2852596640586853,-0.044894590973854065,0.19311979413032532,-0.32513654232025146,False,False,24.619196927429414,69.05273437499999,28.525966845363172,19
2026-01-23T18:12:03.971030,1,13,0.9797979593276978,0.24619196355342865,0.6905273199081421,0.2852596640586853,-0.044894590973854065,0.19311979413032532,-0.32513654232025146,73,0.26262626262626265,0.7373737096786499,0.20035798847675323,0.7131606936454773,0.40199342370033264,-0.045833975076675415,0.022633373737335205,0.11673375964164734,False,False,20.035798438266323,71.31607055664062,40.199341049159635,15
2026-01-23T18:12:44.533764,1,14,0.7373737096786499,0.20035798847675323,0.7131606936454773,0.40199342370033264,-0.045833975076675415,0.022633373737335205,0.11673375964164734,76,0.23232323232323238,0.7676767706871033,0.16245238482952118,0.5246551632881165,0.4008292555809021,-0.037905603647232056,-0.18850553035736084,-0.001164168119430542,False,False,16.24523869199474,52.46551513671874,40.08292497009525,15
